row_idempotency_key_sha256,source_row_sha256,club_name,player_display_name,provider_team_id,provider_player_id,provider_player_name,market_value_eur,currency,reconciliation_state,application_eligible
102cc5da3516e294e32ae15e55cfdd1312ea8f90d891635fc2a9a4359312353a,00274f521cf4ff8e0007d1364deef3a7290e0ef4033a40af7faebfbf692c9e50,Brentford FC,Benjamin Fredrick,236,37683527,Benjamin Fredrick,600000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
b80b09b4e2ee3349c84d376495de06d165d070230dfdb99970300ea4c0105d9f,004dede4723587e3a05ddc2eabd67bfeadf44dc5e0b478a9e55442192bac2025,Chelsea FC,Gabriel Slonina,18,35659570,Gabriel Slonina,3000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
fe24abdcad4f1ff31964ae1b4ae4245e8e851dd70a33c3ca9715fbb6918cdd49,0062dbbb4783c3641f328b8de5e9f93ce4bdfed9279ca121114102cef76e234f,Arsenal FC,Piero Hincapié,19,37261496,Piero Hincapié,50000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
05cc65a641ce0a06418f1487e5009788c8349058c490b2db6a6f9ff3d7481542,0187d087ce0d71d9567e46a8746548c31bfd804e97e577579362bc6d183c9d91,Leeds United,Jayden Bogle,71,581158,Jayden Bogle,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
5f98b1c82c37d26101e68152524fff86022450bbfe245341b341e436432bf354,01e6f3b8de12ae1f6317e80b8cb4e6cf2c6b2c2b81728417bed986163c30d9ff,Manchester United,Karl Darlow,14,1397,Karl Darlow,200000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
dcde2e548390f5bf5e209bdbbfe236c80023a9bc0f2dc7c162f2504257b41243,020c7cedf632e62edeed4678d29d462fa4afc4c667cb2efda43431100c00b03a,Nottingham Forest,Omari Hutchinson,63,37536911,Omari Hutchinson,30000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
8462d7bd4a9127ca5faf92556db5ecb7235db8d704042401e52dd8d94689c499,0223ca97da7202758f50126c685be191fdf03a66b3766cd0a6e90be94659e8de,Sunderland AFC,Abdoullah Ba,3,37342615,Abdoullah Ba,1500000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
390cd7b121787339e1f71f67f4c7157d7b7e26a0fa949f336bf1c3be1eeba0df,026315c42b11cd269f9d9b6843143dc75371f02543d8b96d8732f48a0d2d4673,Tottenham Hotspur,Mikey Moore,6,37651099,Mikey Moore,18000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
151be1a88451862f9de2bf230e929155b47e62d0244eefd2ddd0d6797d8b3626,031e5c0bab173cd4129a570c4e53633d42a8347f64a49f495e86fce495a5f2b4,Brentford FC,Ellery Balcombe,236,7306,Ellery Balcombe,400000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
0f9d70c49cb6b7ebbcf1a350cdbcb3cd6cbcbd2a617e7e1ed3a9a802f41406de,0393dd755efe5d7381e4bb6b5b84a5121294f04b6f3a74f8349585acec554e77,Fulham FC,Alex Iwobi,11,1881,Alex Iwobi,20000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
85f1904cb54e5161e7a01e511b49098be783162c1bef87e0e66da4bcbd23da55,039ba0cab6b89a3e6e068724dee5e92a4463a3ad1edc2c099f6797c2c925e7fe,Tottenham Hotspur,Ben Davies,6,989,Ben Davies,3000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
6fa0ea1c3c56d5442cca1d5b542252b3479beeecce11f223209f753f7ba3de35,03a18b94a207101650c90bfc96f116c0b81b3cca89a54bf2d936a9f90eb1846f,Brentford FC,Benjamin Arthur,236,37655005,Benjamin Arthur,100000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
665181d0e08b3f9fdd40d90b81a6a4cc8e200ca3bdae031ee99e8e780be48c96,059862358f899aa993b3ab34751d3979b20b54c46f4c64e0fa29f0fe7b9ee4b9,Newcastle United,Leo Shahar,20,37594985,Leo Shahar,,,PENDING_VALUE_MISSING,false
44da303284b78a8bf1f4cd156d3231a50fa1a1885d3bde5dfc9835e362216849,05dec7bdb5f7d400c314c607675ff0874021b20abdf7085c1621e5258a267d40,Brentford FC,Ji-soo Kim,236,37627277,Ji-soo Kim,1800000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
930782745291b2c1ecaff37e6df6277d381d17346024936543581b81d0149227,0656674d92340382bb3f26688672790f77af662a5b170eaacb24b04462950a6e,Crystal Palace,Daichi Kamada,51,310131,Daichi Kamada,10000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
dbaf26feb07b8126a9568f37c55e4eb8f718ee5a35e3ab48071402f888b83194,066908696ee826164853d94475b312230cf205e51a8a145ee42fc3dab157f398,Newcastle United,Sean Steur,20,37722794,Sean Steur,7000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
4aee03d4ae14d651fb51641eae8665a789ac01a85599db730a59d85588d415ea,06cc7d67a5b8e7169fb541f9347b92f5e8324b577a2d6065f5f4955eed55358e,Everton FC,Vitaliy Mykolenko,13,537271,Vitaliy Mykolenko,25000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
0f2ee0a7262e21381debf1906390e4bc2d2589be335438f28226c1e8621880bb,06e50b1ad2514078aa595cd5cc847757bea7d5e383d4c2f21e8e0d0a093615fe,Aston Villa,Ezri Konsa,15,7124,Ezri Konsa,45000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
0f2566b921bdc16647cd6a1b0c14f841ac0d70b7f2aa4b293250b4ec6a667831,071c83bf19a3cb5dcdca4cae101bbddd3f5bd033d037474fad1e44cc3f594a5d,Tottenham Hotspur,Mateus Fernandes,6,37593153,Mateus Fernandes,50000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
2a6a9a84a6145f34a36685dbb3fb5cb95abdeaa170bb5a2040c1c1e9fd26860c,071cde611752ea82934eb2a57df6ac5a1d35adb32173ba0094401a3448bf2811,Fulham FC,Jonah Kusi-Asare,11,37714583,Jonah Kusi-Asare,3000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
de1c03e2757f29f9e361f1176eb36a69258fad7f5e6c89d52b403f5cd9cc6ae3,084b745c8ec5d21ce881d885a08a4373dba5db018366ff1d1691d84b6925de9c,Leeds United,Noah Okafor,71,4536529,Noah Okafor,25000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
b76542ace587ca7f933f3f6e03ca9ce8605c56e45e4826c322ccf9150a17320a,085af843b0c3667a4edff8f81f86435d665f32bdb90baecf36fcba0e26ccf2dd,Brentford FC,Jaidon Anthony,236,37392849,Jaidon Anthony,20000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
1de8be5edb09388efe735f5bb036b3742efaa8158aff84bc1352bd64e008c754,0a1a12c8b978f690e7bdb71f541f77ddb0e61ce92afaebe048f1e21114c03def,Manchester City,Jeremy Monga,9,37740614,Jeremy Monga,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
1a98fa098f8cec32c401d2e9f432dd4e9ef8523330be739e3f7dc3836cddb8a2,0a1fb7c559812423772bea40e023c01da7d50e91ed60c806c4b9daf93ac4f5cf,Chelsea FC,David Datro Fofana,18,37555964,David Datro Fofana,4000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
e0c3fd3b454f4a89a7e91cfa3bc91e3cfec557f1916e50084f2d4aef4cdbd5c9,0aa12dff4cb0361a6e4a85cb03c493f2dd4c965a08618fd353c45f396d0c8b3b,Chelsea FC,Mykhaylo Mudryk,18,9938919,Mykhaylo Mudryk,,,PENDING_VALUE_MISSING,false
cc60d0f584de900ea77da77bd44d5a387ebfd2122445474e10bf7c1e9391f256,0b9a61ba22dd03a62f837a8944421dc424d99cf77393f4ce48677747a7da666b,Brighton & Hove Albion,Ferdi Kadıoğlu,78,25738,Ferdi Kadıoğlu,35000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
88a4fa0c9fa549ca55a7a9fa5b5740ddbeafba6b9be243ee43fd41c9fc173745,0bc7c50f30acc65b537b682324ef7dd89df6dd2ac24858cf918a712d30abed81,Manchester United,Diogo Dalot,14,164061,Diogo Dalot,30000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
85d40c8fae2b5bf5ea97eb98d7d5e105314701bf3b68bf0175889028e149a6c4,0bfa8c6ebc165dfbff8dac4e13591d2a12fb155ef8958aec25950901f9f78fd7,Crystal Palace,Borna Sosa,51,74160,Borna Sosa,3000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
e665234de218ffe940c1fd0d1b56763028e257c8d14ed6f07bf9c371e98c2787,0c4d357a9d5eccf269da92ac1d8073c5199b1b8820de2da6ab6169b660235214,Manchester United,Bryan Mbeumo,14,529689,Bryan Mbeumo,75000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
51d476a0712bc127e5c038823b2877c3891d89ad5c304577f6c3322f453509a4,0d4a7e6afe73dcf78691c5edd068f2248cf96bf5a27d46179c3fe1a77124ee9c,Manchester City,Rico Lewis,9,37459073,Rico Lewis,28000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
dead5fe214cfe161821f5bd38838d13b31e0f9510c19f7b4a08d88e862cd9332,0e5331160858c58cd4a2524d3dc6f8ab7df1d44a1cc1f209759e02bc0f79b10d,Arsenal FC,Riccardo Calafiori,19,23278684,Riccardo Calafiori,55000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
4469abb2f3dd038da55bf05dd035fec7a4b28e5f4853d2864824f6fee99361be,0e6d47c434675d7e45ab0e73be6a84d4cf027306bcced9ecb1c4588adb7ecedd,Arsenal FC,Declan Rice,19,5273,Declan Rice,120000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
525f1fea2e5c288dce793fde301ac734e084a3b2c03425590ea7a4c85df4295a,0f45e91ff2e387cc98cae0bf7f743023b0d62a6832bdccfb7d7e0e42c15ecba9,Brighton & Hove Albion,Mats Wieffer,78,24082563,Mats Wieffer,25000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
2149f3320adb064f4008d5accda613164f499a3443ae5f89585d1971055c8e6b,0fad90171a152b06751f37c8877bcf7b1476e13c32d02877f29c14a13e15cb96,Aston Villa,Tammy Abraham,15,3139,Tammy Abraham,18000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
c6f32429ab1a9ae2e4ea88504298b75cd2a8b3a7536537cf230987dcf0afdecd,11520de89a7625814daaf2efbafc16db92fce62973d2c5667aee0ec59cf75208,Coventry City,Ben Wilson,117,3261,Ben Wilson,300000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
6f2d728f875f1be1091bb0a1fdab32de5c6abeb402267fc54614ae0b3efbb81c,1180f7083dde19db9f82230532273d0693cf3fc5005e9f1e9dd85742c506401a,Everton FC,Carlos Alcaraz,13,37410255,Carlos Alcaraz,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
e7318d1db033859e7506bfdc90be20d6c83e7553039dc3a303ab5b3ed966e9f5,11a10a40dd0cb4a27ff01d744df4595a61196802aa1f283028cbbd9d7482b31b,Manchester United,Luke Shaw,14,955,Luke Shaw,8000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
ca50b60bb91db117c88853219fd339845612cb0fdd7cb357bcf67fa054ec28a9,11ac6dd90199b6509c379270b08833d5d13bbb4aff1aa4b4d05e67bcb27c2892,Chelsea FC,Mamadou Sarr,18,37532344,Mamadou Sarr,22000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
9c7df33550bccce87c2552ab5647c9c3b2bf850e3947c00cf2ff847ac461b2c1,11ad34b49b69813478686f3055b2f9ae671e31faf3a9fb20bf4289cd76ba334a,AFC Bournemouth,Evanilson,52,11298616,Evanilson,35000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
0361da0ed00e0c241b20e34092fd85dd3a0dde059792036f4aad54d0de33cbe3,121239a0671c11da9d0379804a97e1ad61320b5156cc34bb15fb18f600a58e38,Ipswich Town,Kjell Scherpen,116,29470,Kjell Scherpen,8000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
95c1b832ea0712bd2285ee968302191a44a61bd3346cd0e7868291385ed97891,1369fcfa37f4cc06c5ddde5d73783f5c327962d1c7f9bcf32af75463ac7e3853,Brentford FC,Antoni Milambo,236,37575228,Antoni Milambo,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
9689efb69c9d1b1f27685d7e71bb84ec7c5eb1d10754c0e2cb2a27672bd61bc5,13f4294ad32a1c75bbbfa92e26c44e53d9ec0df853272f9cc44f2cd60ada8be9,Leeds United,Lukas Nmecha,71,537217,Lukas Nmecha,10000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
b7166059c47440185acfce1e73d2b1df69fabd271009607aceac0970ba4ce741,1468fa5ea35af6aba4008d43d5bbe47eda989311c231b257b3cdd3203b3d6cdb,Chelsea FC,Maxence Lacroix,18,5666458,Maxence Lacroix,50000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
82df8beea8f9c9a592734e72c9e9dc6625d9084d5fa1693f3f6bc88759d7e7ca,146e2f5dc207660d07ab9d51c5734fecf75d152bbd72f115371973f3295ad4ca,Newcastle United,Dan Burn,20,2815,Dan Burn,4000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
e4a8b6b6f415b1101ab216bf67f0ac8032077725e7eee2e51f158299be0f4a2b,14cf8ca4e1122f971883ea0847ab6a3383a2a4ec63889263f0e13f1dfa3c187b,Chelsea FC,Pedro Neto,18,496775,Pedro Neto,60000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
b7327b78d55c1a7e4f80236e0b24e4a84988a8ce4ae33c4814dc36068e7bf06a,15151a1a78096ebcf666ed5a22537fc9130db791109c68276b11a9807b0da616,Chelsea FC,Dário Essugo,18,37564315,Dário Essugo,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
00396d0483eca1b0521eb9899ec0e3c94286f6c175797b997578f137587e5203,1647b7c0bc2affc3ecdcbd01842eb58a78f3a128d50ac39310d8be9cd4d8d374,Aston Villa,Amadou Onana,15,22878573,Amadou Onana,45000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
bb9be3fa0ad67ca73f9db6f883c452a4dadf5389e80da1f37c9ba787f847a128,1677166034c6600bddd7b1a6a0bbf926462bff308bb08d711aa66aa54927c3a4,Manchester City,Gianluigi Donnarumma,9,129771,Gianluigi Donnarumma,45000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
a196f0d847bcffb35bb279a55f10fa88517ab4bd16598e2cdd62d836f3bb1a96,16a844eb56eb899514227e71a3ff57bb71dfc7c2ad667d4dc90c35b18f4d305f,Chelsea FC,Axel Disasi,18,100385,Axel Disasi,15000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
eb7f7e54ca3afed273b3e367e11c27dda92911b39c99768609b85b67ab14bcbb,17109667c5f1d4f4408512a1b67d4603e8bc1444fb720ee8aa4aaec2d4312d8f,Fulham FC,Bernd Leno,11,31342,Bernd Leno,6000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
3bbc83a28657127b196fa002dfa93653928c507c7a6266dbc5c53422489cb107,17a696edf57057b003661fde45feea15cb456e36827a69d933a4c0a24195f087,Brighton & Hove Albion,Maxim De Cuyper,78,23269659,Maxim De Cuyper,22000000,EUR,READY_AFTER_CANONICAL_UUID_BINDING,false
